run,score,duration_s,gamma,batch_size,epsilon,epsilon_min,epsilon_decay,buffer_size,hidden_sizes,target_update_freq,lr,target_update_freq
1,0.785,402.4,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1378,0.003531,1378
2,0.97,181.7,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",989,0.005214,989
3,0.07,236.5,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",562,0.002482,562
4,0.07,327.4,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",369,0.008938,369
5,1.0,223.0,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1491,0.003329,1491
6,0.05,218.2,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1614,0.00018,1614
7,0.01,271.5,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1100,0.000796,1100
8,1.0,280.9,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",867,0.007137,867
9,0.67,507.0,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",924,0.00194,924
10,0.69,246.5,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1680,0.000771,1680
11,0.005,589.3,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",365,0.000285,365
12,0.01,388.1,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1198,0.000134,1198
13,0.765,1068.7,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",698,0.004521,698
14,0.81,834.0,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1336,0.003282,1336
15,0.315,1107.5,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",322,0.000512,322
16,1.0,275.8,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1947,0.006113,1947
17,0.98,346.9,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1567,0.003604,1567
18,0.01,497.8,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",550,0.000858,550
19,0.0,460.1,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1183,0.000122,1183
20,0.07,482.7,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",477,0.002323,477
21,0.47,1210.1,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",859,0.003087,859
22,0.3,382.9,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1941,0.000448,1941
23,0.01,659.6,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",337,0.000551,337
24,0.0,376.2,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1045,0.000239,1045
25,0.02,347.5,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1435,0.000182,1435
