run,score,duration_s,gamma,batch_size,epsilon,epsilon_min,epsilon_decay,buffer_size,hidden_sizes,target_update_freq,lr,buffer_size
1,0.83,249.1,0.99,128,1.0,0.01,0.9995,67184,"[128, 128]",1000,0.003531,67184
2,0.96,217.5,0.99,128,1.0,0.01,0.9995,46693,"[128, 128]",1000,0.005214,46693
3,0.68,489.5,0.99,128,1.0,0.01,0.9995,24139,"[128, 128]",1000,0.002482,24139
4,0.99,153.4,0.99,128,1.0,0.01,0.9995,13946,"[128, 128]",1000,0.008938,13946
5,0.82,730.6,0.99,128,1.0,0.01,0.9995,73160,"[128, 128]",1000,0.003329,73160
6,0.045,396.3,0.99,128,1.0,0.01,0.9995,79676,"[128, 128]",1000,0.00018,79676
7,0.04,290.5,0.99,128,1.0,0.01,0.9995,52533,"[128, 128]",1000,0.000796,52533
8,0.99,220.8,0.99,128,1.0,0.01,0.9995,40225,"[128, 128]",1000,0.007137,40225
9,0.11,275.8,0.99,128,1.0,0.01,0.9995,43229,"[128, 128]",1000,0.00194,43229
10,0.0,289.5,0.99,128,1.0,0.01,0.9995,83162,"[128, 128]",1000,0.000771,83162
11,0.33,310.3,0.99,128,1.0,0.01,0.9995,13752,"[128, 128]",1000,0.000285,13752
12,0.055,390.3,0.99,128,1.0,0.01,0.9995,57685,"[128, 128]",1000,0.000134,57685
13,0.83,529.2,0.99,128,1.0,0.01,0.9995,31292,"[128, 128]",1000,0.004521,31292
14,0.88,476.6,0.99,128,1.0,0.01,0.9995,65008,"[128, 128]",1000,0.003282,65008
15,0.67,627.3,0.99,128,1.0,0.01,0.9995,11452,"[128, 128]",1000,0.000512,11452
16,0.92,327.9,0.99,128,1.0,0.01,0.9995,97216,"[128, 128]",1000,0.006113,97216
17,0.81,733.8,0.99,128,1.0,0.01,0.9995,77190,"[128, 128]",1000,0.003604,77190
18,0.1,362.0,0.99,128,1.0,0.01,0.9995,23490,"[128, 128]",1000,0.000858,23490
19,0.01,585.4,0.99,128,1.0,0.01,0.9995,56924,"[128, 128]",1000,0.000122,56924
20,0.4,382.7,0.99,128,1.0,0.01,0.9995,19657,"[128, 128]",1000,0.002323,19657
21,0.86,608.7,0.99,128,1.0,0.01,0.9995,39831,"[128, 128]",1000,0.003087,39831
22,0.02,474.7,0.99,128,1.0,0.01,0.9995,96913,"[128, 128]",1000,0.000448,96913
23,0.49,437.0,0.99,128,1.0,0.01,0.9995,12252,"[128, 128]",1000,0.000551,12252
24,0.0,451.9,0.99,128,1.0,0.01,0.9995,49607,"[128, 128]",1000,0.000239,49607
25,0.01,473.3,0.99,128,1.0,0.01,0.9995,70215,"[128, 128]",1000,0.000182,70215
