run,score,duration_s,gamma,batch_size,epsilon,epsilon_min,epsilon_decay,buffer_size,hidden_sizes,target_update_freq,lr,alpha,beta_start
1,0.18,506.9,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.003531,0.519439,0.643439
2,0.98,620.1,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.002482,0.347089,0.690249
3,0.255,1176.3,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.003329,0.693032,0.351245
4,0.03,600.7,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.000796,0.485399,0.670706
5,0.5,803.5,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.00194,0.711381,0.477366
6,0.01,642.8,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.000285,0.577292,0.325527
7,0.87,670.5,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.004521,0.615832,0.603235
8,0.39,798.7,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.000512,0.785349,0.657248
9,0.17,792.6,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.003604,0.397319,0.486688
10,0.01,579.5,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.000122,0.377145,0.57322
11,0.75,432.3,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.003087,0.783755,0.43033
12,0.645,627.2,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.000551,0.534778,0.375789
13,0.11,620.7,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.000182,0.537852,0.390764
14,0.08,400.1,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.002186,0.518576,0.633071
15,0.08,500.8,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.002515,0.456183,0.632904
16,0.77,340.4,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.004069,0.493739,0.415331
17,0.42,491.7,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.002317,0.369876,0.379963
18,0.175,1128.0,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.000103,0.693462,0.56594
19,0.1,702.1,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.002572,0.690365,0.483566
20,0.11,415.9,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.001372,0.369898,0.345812
21,0.04,499.7,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.002172,0.535548,0.526094
22,0.02,451.0,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.003388,0.617359,0.521432
23,0.03,333.1,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.001313,0.451975,0.312327
24,0.08,402.4,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.000747,0.407292,0.463411
25,0.65,590.1,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1000,0.005091,0.41697,0.323321
