run,score,duration_s,gamma,batch_size,epsilon,epsilon_min,epsilon_decay,buffer_size,hidden_sizes,target_update_freq,lr,target_update_freq
1,0.28,701.8,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1378,0.003531,1378
2,0.345,833.0,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",989,0.005214,989
3,0.27,502.6,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",562,0.002482,562
4,0.54,330.2,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",369,0.008938,369
5,0.215,1048.4,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1491,0.003329,1491
6,0.305,825.3,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1614,0.00018,1614
7,0.24,822.3,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1100,0.000796,1100
8,0.15,1056.7,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",867,0.007137,867
9,0.33,1013.7,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",924,0.00194,924
10,0.17,1432.7,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1680,0.000771,1680
11,0.81,537.9,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",365,0.000285,365
12,0.16,1185.9,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1198,0.000134,1198
13,0.12,783.4,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",698,0.004521,698
14,0.63,605.0,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1336,0.003282,1336
15,0.54,392.1,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",322,0.000512,322
16,0.315,1181.6,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1947,0.006113,1947
17,0.35,644.0,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1567,0.003604,1567
18,0.28,397.4,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",550,0.000858,550
19,0.37,641.5,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1183,0.000122,1183
20,0.54,363.7,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",477,0.002323,477
21,0.3,552.8,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",859,0.003087,859
22,0.2,815.9,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1941,0.000448,1941
23,0.22,319.9,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",337,0.000551,337
24,0.28,605.5,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1045,0.000239,1045
25,0.3,610.4,0.99,128,1.0,0.01,0.9995,50000,"[128, 128]",1435,0.000182,1435
