run,score,duration_s,gamma,batch_size,epsilon,epsilon_min,epsilon_decay,buffer_size,lr,target_update_freq
1,-1.0,585.7,0.99,64,1.0,0.01,0.995,10000,0.003531,1378
2,-1.0,641.9,0.99,64,1.0,0.01,0.995,10000,0.005214,989
3,-1.0,469.3,0.99,64,1.0,0.01,0.995,10000,0.002482,562
4,-1.0,676.1,0.99,64,1.0,0.01,0.995,10000,0.008938,369
5,0.93,314.1,0.99,64,1.0,0.01,0.995,10000,0.003329,1491
6,0.93,486.2,0.99,64,1.0,0.01,0.995,10000,0.00018,1614
7,0.93,267.9,0.99,64,1.0,0.01,0.995,10000,0.000796,1100
8,-1.0,328.9,0.99,64,1.0,0.01,0.995,10000,0.007137,867
9,-1.0,264.4,0.99,64,1.0,0.01,0.995,10000,0.00194,924
10,-1.0,452.8,0.99,64,1.0,0.01,0.995,10000,0.000771,1680
11,0.93,267.0,0.99,64,1.0,0.01,0.995,10000,0.000285,365
12,0.93,348.2,0.99,64,1.0,0.01,0.995,10000,0.000134,1198
13,-1.0,473.3,0.99,64,1.0,0.01,0.995,10000,0.004521,698
14,-1.0,306.6,0.99,64,1.0,0.01,0.995,10000,0.003282,1336
15,0.93,119.3,0.99,64,1.0,0.01,0.995,10000,0.000512,322
