run,score,duration_s,gamma,batch_size,epsilon,epsilon_min,epsilon_decay,buffer_size,lr,buffer_size
1,-1.0,78.0,0.99,64,1.0,0.01,0.995,67184,0.003531,67184
2,-1.0,152.9,0.99,64,1.0,0.01,0.995,46693,0.005214,46693
3,0.93,62.9,0.99,64,1.0,0.01,0.995,24139,0.002482,24139
4,-1.0,269.8,0.99,64,1.0,0.01,0.995,13946,0.008938,13946
5,-1.0,75.0,0.99,64,1.0,0.01,0.995,73160,0.003329,73160
6,0.93,66.8,0.99,64,1.0,0.01,0.995,79676,0.00018,79676
7,0.93,64.6,0.99,64,1.0,0.01,0.995,52533,0.000796,52533
8,0.93,88.3,0.99,64,1.0,0.01,0.995,40225,0.007137,40225
9,0.93,66.1,0.99,64,1.0,0.01,0.995,43229,0.00194,43229
10,0.93,67.6,0.99,64,1.0,0.01,0.995,83162,0.000771,83162
11,0.93,62.3,0.99,64,1.0,0.01,0.995,13752,0.000285,13752
12,0.93,66.1,0.99,64,1.0,0.01,0.995,57685,0.000134,57685
13,0.93,80.5,0.99,64,1.0,0.01,0.995,31292,0.004521,31292
14,0.93,69.3,0.99,64,1.0,0.01,0.995,65008,0.003282,65008
15,0.93,70.0,0.99,64,1.0,0.01,0.995,11452,0.000512,11452
