run,score,duration_s,gamma,batch_size,epsilon,epsilon_min,epsilon_decay,buffer_size,lr,target_update_freq
1,1.0,48.3,0.99,64,1.0,0.01,0.995,10000,0.003531,1378
2,-0.01,48.3,0.99,64,1.0,0.01,0.995,10000,0.005214,989
3,1.0,50.4,0.99,64,1.0,0.01,0.995,10000,0.002482,562
4,-0.01,79.2,0.99,64,1.0,0.01,0.995,10000,0.008938,369
5,1.0,56.5,0.99,64,1.0,0.01,0.995,10000,0.003329,1491
6,1.0,49.4,0.99,64,1.0,0.01,0.995,10000,0.00018,1614
7,1.0,53.0,0.99,64,1.0,0.01,0.995,10000,0.000796,1100
8,1.0,54.6,0.99,64,1.0,0.01,0.995,10000,0.007137,867
9,1.0,51.2,0.99,64,1.0,0.01,0.995,10000,0.00194,924
10,1.0,53.3,0.99,64,1.0,0.01,0.995,10000,0.000771,1680
11,1.0,62.0,0.99,64,1.0,0.01,0.995,10000,0.000285,365
12,1.0,51.8,0.99,64,1.0,0.01,0.995,10000,0.000134,1198
13,-0.01,56.4,0.99,64,1.0,0.01,0.995,10000,0.004521,698
14,1.0,51.8,0.99,64,1.0,0.01,0.995,10000,0.003282,1336
15,1.0,50.0,0.99,64,1.0,0.01,0.995,10000,0.000512,322
