run,score,duration_s,gamma,batch_size,epsilon,epsilon_min,epsilon_decay,buffer_size,lr,target_update_freq
1,1.0,14.6,0.99,64,1.0,0.01,0.995,10000,0.003531,1378
2,1.0,16.1,0.99,64,1.0,0.01,0.995,10000,0.005214,989
3,1.0,13.4,0.99,64,1.0,0.01,0.995,10000,0.002482,562
4,1.0,13.4,0.99,64,1.0,0.01,0.995,10000,0.008938,369
5,1.0,15.0,0.99,64,1.0,0.01,0.995,10000,0.003329,1491
6,1.0,13.4,0.99,64,1.0,0.01,0.995,10000,0.00018,1614
7,1.0,15.2,0.99,64,1.0,0.01,0.995,10000,0.000796,1100
8,1.0,18.4,0.99,64,1.0,0.01,0.995,10000,0.007137,867
9,1.0,13.4,0.99,64,1.0,0.01,0.995,10000,0.00194,924
10,1.0,15.6,0.99,64,1.0,0.01,0.995,10000,0.000771,1680
