run,score,duration_s,gamma,batch_size,epsilon,epsilon_min,epsilon_decay,buffer_size,hidden_sizes,target_update_freq,lr,buffer_size
1,0.785,32.3,0.99,128,1.0,0.01,0.995,67184,"[128, 128]",1000,0.003531,67184
2,0.76,32.2,0.99,128,1.0,0.01,0.995,46693,"[128, 128]",1000,0.005214,46693
3,0.9,31.0,0.99,128,1.0,0.01,0.995,24139,"[128, 128]",1000,0.002482,24139
4,0.75,31.7,0.99,128,1.0,0.01,0.995,13946,"[128, 128]",1000,0.008938,13946
5,0.805,33.0,0.99,128,1.0,0.01,0.995,73160,"[128, 128]",1000,0.003329,73160
6,0.865,36.1,0.99,128,1.0,0.01,0.995,79676,"[128, 128]",1000,0.00018,79676
7,0.865,35.7,0.99,128,1.0,0.01,0.995,52533,"[128, 128]",1000,0.000796,52533
8,0.79,32.3,0.99,128,1.0,0.01,0.995,40225,"[128, 128]",1000,0.007137,40225
9,0.925,33.0,0.99,128,1.0,0.01,0.995,43229,"[128, 128]",1000,0.00194,43229
10,0.815,35.3,0.99,128,1.0,0.01,0.995,83162,"[128, 128]",1000,0.000771,83162
11,0.84,34.7,0.99,128,1.0,0.01,0.995,13752,"[128, 128]",1000,0.000285,13752
12,0.77,34.7,0.99,128,1.0,0.01,0.995,57685,"[128, 128]",1000,0.000134,57685
13,0.815,31.6,0.99,128,1.0,0.01,0.995,31292,"[128, 128]",1000,0.004521,31292
14,0.85,32.2,0.99,128,1.0,0.01,0.995,65008,"[128, 128]",1000,0.003282,65008
15,0.74,35.3,0.99,128,1.0,0.01,0.995,11452,"[128, 128]",1000,0.000512,11452
