run,score,duration_s,gamma,batch_size,epsilon,epsilon_min,epsilon_decay,buffer_size,hidden_sizes,target_update_freq,lr,target_update_freq
1,0.81,36.0,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1378,0.003531,1378
2,0.85,36.3,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",989,0.005214,989
3,0.64,36.8,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",562,0.002482,562
4,0.61,36.3,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",369,0.008938,369
5,0.75,35.6,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1491,0.003329,1491
6,0.775,38.1,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1614,0.00018,1614
7,0.785,36.2,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1100,0.000796,1100
8,0.745,36.6,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",867,0.007137,867
9,0.895,37.0,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",924,0.00194,924
10,0.86,37.2,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1680,0.000771,1680
11,0.815,38.0,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",365,0.000285,365
12,0.815,37.2,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1198,0.000134,1198
13,0.71,35.8,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",698,0.004521,698
14,0.845,36.6,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1336,0.003282,1336
15,0.63,39.4,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",322,0.000512,322
