run,score,duration_s,gamma,batch_size,epsilon,epsilon_min,epsilon_decay,buffer_size,hidden_sizes,target_update_freq,lr,buffer_size
1,1.0,60.0,0.99,128,1.0,0.01,0.995,67184,"[128, 128]",1000,0.003531,67184
2,0.0,56.1,0.99,128,1.0,0.01,0.995,46693,"[128, 128]",1000,0.005214,46693
3,0.0,57.6,0.99,128,1.0,0.01,0.995,24139,"[128, 128]",1000,0.002482,24139
4,1.0,55.7,0.99,128,1.0,0.01,0.995,13946,"[128, 128]",1000,0.008938,13946
5,0.0,59.0,0.99,128,1.0,0.01,0.995,73160,"[128, 128]",1000,0.003329,73160
6,1.0,67.3,0.99,128,1.0,0.01,0.995,79676,"[128, 128]",1000,0.00018,79676
7,0.5,66.4,0.99,128,1.0,0.01,0.995,52533,"[128, 128]",1000,0.000796,52533
8,1.0,57.9,0.99,128,1.0,0.01,0.995,40225,"[128, 128]",1000,0.007137,40225
9,0.5,63.0,0.99,128,1.0,0.01,0.995,43229,"[128, 128]",1000,0.00194,43229
10,0.5,67.2,0.99,128,1.0,0.01,0.995,83162,"[128, 128]",1000,0.000771,83162
11,0.0,63.9,0.99,128,1.0,0.01,0.995,13752,"[128, 128]",1000,0.000285,13752
12,1.0,75.3,0.99,128,1.0,0.01,0.995,57685,"[128, 128]",1000,0.000134,57685
13,1.0,71.1,0.99,128,1.0,0.01,0.995,31292,"[128, 128]",1000,0.004521,31292
14,1.0,62.6,0.99,128,1.0,0.01,0.995,65008,"[128, 128]",1000,0.003282,65008
15,1.0,78.7,0.99,128,1.0,0.01,0.995,11452,"[128, 128]",1000,0.000512,11452
